full_name,error,greenhouse,date,source_file
Julia Kamiński_48,Brak/błąd odbicia aktywności,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Piotr Kowalski_56,Błąd odbicia na zbiorze,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Kamil Nowak_56,Brak/błąd odbicia aktywności,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Bartek Nowak_28,Błąd odbicia na zbiorze,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Marek Kowalski_54,Błąd odbicia na zbiorze,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Marek Dąbrowski_87,Brak odbicia aktywności na koniec pracy,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Piotr Szymański_80,Brak/błąd odbicia przerwy,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Piotr Lewandowski_77,Błąd odbicia na aktywności bez rzędów,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Michał Wójcik_33,Błąd odbicia na zbiorze,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Tomek Kowalski_68,Brak/błąd odbicia przerwy,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Ewa Kowalski_89,Błąd odbicia na zbiorze,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Michał Dąbrowski_48,Błąd odbicia na zbiorze,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Ewa Lewandowski_56,Brak/błąd odbicia końca pracy,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Bartek Lewandowski_82,Błąd odbicia na zbiorze,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Kamil Dąbrowski_20,Błąd odbicia na zbiorze,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Anna Nowak_19,Brak odbicia aktywności na koniec pracy,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Ola Szymański_6,Błąd odbicia na zbiorze,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Ola Kamiński_75,Błąd odbicia na zbiorze,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Marek Kamiński_96,Brak/błąd odbicia przerwy,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Bartek Wójcik_40,Błąd odbicia na aktywności bez rzędów,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Piotr Zając_65,Błąd odbicia na aktywności bez rzędów,Etap 1,2026-04-01,Błędy 01.04.2026.xlsx
Zofia Wiśniewski_34,Brak odbicia taga,Etap 2,2026-04-01,Błędy 01.04.2026.xlsx
Michał Lewandowski_15,Błąd odbicia na zbiorze,Etap 2,2026-04-01,Błędy 01.04.2026.xlsx
